Year,Month,Day,NorESM1-M
2038,4,9,56.86
2038,4,10,55.47
2038,4,11,54.40
2038,4,12,53.42
2038,4,13,75.95
2038,4,14,99.34
2038,4,15,78.83
2038,4,16,61.28
2038,4,17,55.69
2038,4,18,51.56
2038,4,19,49.54
2038,4,20,48.41
2038,4,21,47.56
2038,4,22,58.18
2038,4,23,51.37
2038,4,24,47.27
2038,4,25,45.29
2038,4,26,44.15
2038,4,27,43.27
2038,4,28,42.50
2038,4,29,41.75
2038,4,30,44.21
2038,5,1,133.58
2038,5,2,207.90
2038,5,3,148.69
2038,5,4,84.13
2038,5,5,56.74
2038,5,6,47.12
2038,5,7,43.79
2038,5,8,42.36
2038,5,9,41.50
2038,5,10,40.76
2038,5,11,40.04
2038,5,12,39.37
2038,5,13,38.68
2038,5,14,38.04
2038,5,15,37.38
2038,5,16,36.79
2038,5,17,36.16
2038,5,18,35.49
2038,5,19,34.87
2038,5,20,34.31
2038,5,21,33.67
2038,5,22,33.13
2038,5,23,32.61
2038,5,24,32.04
2038,5,25,31.53
2038,5,26,31.01
2038,5,27,30.41
2038,5,28,29.93
2038,5,29,29.45
2038,5,30,28.92
2038,5,31,28.45
2038,6,1,27.99
2038,6,2,27.51
2038,6,3,27.03
2038,6,4,26.56
2038,6,5,26.11
2038,6,6,25.62
2038,6,7,25.12
2038,6,8,24.70
2038,6,9,24.31
2038,6,10,23.95
2038,6,11,23.56
2038,6,12,23.09
2038,6,13,22.67
2038,6,14,22.26
2038,6,15,21.97
2038,6,16,21.64
2038,6,17,21.27
2038,6,18,20.74
2038,6,19,20.36
2038,6,20,20.15
2038,6,21,19.86
2038,6,22,19.51
2038,6,23,19.16
2038,6,24,18.84
2038,6,25,18.52
2038,6,26,18.14
2038,6,27,17.82
2038,6,28,17.53
2038,6,29,17.24
2038,6,30,16.99
2038,7,1,16.71
2038,7,2,16.42
2038,7,3,16.12
2038,7,4,15.81
2038,7,5,15.55
2038,7,6,15.29
2038,7,7,15.01
2038,7,8,14.76
2038,7,9,14.50
2038,7,10,14.23
2038,7,11,13.96
2038,7,12,13.74
2038,7,13,13.45
2038,7,14,13.20
2038,7,15,12.99
2038,7,16,12.74
2038,7,17,12.53
2038,7,18,12.36
2038,7,19,12.19
2038,7,20,12.01
2038,7,21,11.76
2038,7,22,11.48
2038,7,23,11.27
2038,7,24,11.08
2038,7,25,10.88
2038,7,26,10.68
2038,7,27,10.47
2038,7,28,10.31
2038,7,29,10.19
2038,7,30,10.05
2038,7,31,9.88
2038,8,1,9.64
2038,8,2,9.44
2038,8,3,9.33
2038,8,4,9.22
2038,8,5,9.09
2038,8,6,8.93
2038,8,7,8.73
2038,8,8,8.57
2038,8,9,8.47
2038,8,10,8.36
2038,8,11,8.24
2038,8,12,8.12
2038,8,13,7.95
2038,8,14,7.80
2038,8,15,7.61
2038,8,16,7.47
2038,8,17,7.34
2038,8,18,7.16
2038,8,19,7.02
2038,8,20,6.92
2038,8,21,6.86
2038,8,22,6.75
2038,8,23,6.62
2038,8,24,6.50
2038,8,25,6.36
2038,8,26,6.23
2038,8,27,6.13
2038,8,28,6.06
2038,8,29,5.98
2038,8,30,5.90
2038,8,31,5.81
2038,9,1,5.68
2038,9,2,5.50
2038,9,3,5.36
2038,9,4,5.29
2038,9,5,5.23
2038,9,6,5.15
2038,9,7,5.04
2038,9,8,4.96
2038,9,9,4.87
2038,9,10,4.76
2038,9,11,4.69
2038,9,12,4.64
2038,9,13,4.60
2038,9,14,4.53
2038,9,15,4.46
2038,9,16,4.39
2038,9,17,4.30
2038,9,18,4.20
2038,9,19,4.17
2038,9,20,4.13
2038,9,21,4.05
2038,9,22,3.93
2038,9,23,3.85
2038,9,24,3.82
2038,9,25,3.78
2038,9,26,3.76
2038,9,27,3.70
2038,9,28,3.64
2038,9,29,3.55
2038,9,30,3.47
2038,10,1,3.40
2038,10,2,3.37
2038,10,3,3.31
2038,10,4,3.24
2038,10,5,3.18
2038,10,6,3.15
2038,10,7,3.12
2038,10,8,3.05
2038,10,9,3.02
2038,10,10,2.99
2038,10,11,2.95
2038,10,12,2.89
2038,10,13,2.83
2038,10,14,2.80
2038,10,15,2.77
2038,10,16,2.72
2038,10,17,2.59
2038,10,18,2.56
2038,10,19,2.53
2038,10,20,2.48
2038,10,21,2.42
