Year,Month,Day,HadGEM2-ES
1982,1,18,15.82
1982,1,19,15.55
1982,1,20,15.29
1982,1,21,20.67
1982,1,22,121.00
1982,1,23,179.00
1982,1,24,97.55
1982,1,25,46.44
1982,1,26,27.97
1982,1,27,21.84
1982,1,28,19.87
1982,1,29,19.11
1982,1,30,18.68
1982,1,31,18.34
1982,2,1,18.02
1982,2,2,17.71
1982,2,3,17.40
1982,2,4,23.87
1982,2,5,27.20
1982,2,6,18.49
1982,2,7,16.87
1982,2,8,89.15
1982,2,9,191.23
1982,2,10,177.45
1982,2,11,81.07
1982,2,12,74.72
1982,2,13,42.74
1982,2,14,29.19
1982,2,15,24.42
1982,2,16,22.73
1982,2,17,22.01
1982,2,18,21.56
1982,2,19,21.17
1982,2,20,20.82
1982,2,21,38.03
1982,2,22,25.55
1982,2,23,22.10
1982,2,24,63.11
1982,2,25,37.24
1982,2,26,25.08
1982,2,27,21.16
1982,2,28,19.88
1982,3,1,54.83
1982,3,2,195.89
1982,3,3,275.71
1982,3,4,212.93
1982,3,5,149.20
1982,3,6,90.99
1982,3,7,55.54
1982,3,8,38.89
1982,3,9,90.11
1982,3,10,56.57
1982,3,11,39.65
1982,3,12,33.76
1982,3,13,30.41
1982,3,14,29.10
1982,3,15,37.95
1982,3,16,58.24
1982,3,17,71.94
1982,3,18,149.68
1982,3,19,86.29
1982,3,20,50.41
1982,3,21,41.03
1982,3,22,36.69
1982,3,23,32.51
1982,3,24,30.02
1982,3,25,28.73
1982,3,26,27.99
1982,3,27,27.45
1982,3,28,26.96
1982,3,29,26.49
1982,3,30,26.02
1982,3,31,93.42
1982,4,1,102.20
1982,4,2,88.95
1982,4,3,57.80
1982,4,4,40.16
1982,4,5,31.80
1982,4,6,28.35
1982,4,7,26.91
1982,4,8,112.04
1982,4,9,90.59
1982,4,10,49.55
1982,4,11,34.31
1982,4,12,29.00
1982,4,13,116.12
1982,4,14,169.25
1982,4,15,99.86
1982,4,16,54.88
1982,4,17,37.63
1982,4,18,31.80
1982,4,19,29.69
1982,4,20,28.74
1982,4,21,28.13
1982,4,22,27.61
1982,4,23,27.14
1982,4,24,26.77
1982,4,25,26.38
1982,4,26,26.14
1982,4,27,175.48
1982,4,28,227.66
1982,4,29,160.48
1982,4,30,76.64
1982,5,1,45.30
1982,5,2,35.24
1982,5,3,32.06
1982,5,4,30.87
1982,5,5,30.21
1982,5,6,29.64
1982,5,7,29.11
1982,5,8,28.64
1982,5,9,28.17
1982,5,10,27.69
1982,5,11,27.21
1982,5,12,26.75
1982,5,13,26.31
1982,5,14,25.83
1982,5,15,47.17
1982,5,16,30.26
1982,5,17,26.26
1982,5,18,25.02
1982,5,19,38.76
1982,5,20,37.86
1982,5,21,29.91
1982,5,22,30.49
1982,5,23,85.18
1982,5,24,60.28
1982,5,25,36.40
1982,5,26,27.69
1982,5,27,24.55
1982,5,28,36.36
1982,5,29,27.61
1982,5,30,24.05
1982,5,31,22.60
